"Timestamp","Site","ID","Gender","Ethnic background","Age group","Name of your institution","What is your primary role in the institution","How does your institution interact with fishers:","Other, explain","How does your institution interact with wholesalers and retailers","Could you please specify at which point in the value chain your organization is involved in research and or management activities: [Spini lobster]","Could you please specify at which point in the value chain your organization is involved in research and or management activities: [Queen conch]","Could you please specify at which point in the value chain your organization is involved in research and or management activities: [Fin fish]","Other, explain","How have your progams directly increased the income of small-scale fishers and their families?","Havewould you measured changes in fishers' ability to meet their basic needs and invest in the future? can you explain?",""
"2024/10/28 3:22:39 PM PDT","","SC 11","Female","Creole","45 - 54","WWF","Community/stakeholder, outreach engament, education","Training programs;Education and outreach;Research","","","Catch/production","Catch/production","Catch/production","","project intervention for income diversification, small business, development and skill training","project upi, household surveys (baseline vs end and project intervention results)",""
"2024/10/28 3:27:27 PM PDT","","SC 19","Male","Mestizo","35 - 44","Fragments of Hope","Site coordinator","Training programs;Education and outreach;Governance and decision making","","Training programs;Education and outreach","Catch/production","Catch/production","Catch/production","","train fishers to engage in monitoring and alternative livelihood","Not quantified in the economic status of fisher and fishing grounds",""
"2024/10/28 3:32:09 PM PDT","","SC 40","Male","Mestizo","25 - 34","Caye Caulker BTIA","Chairperson, caye caulker chaptor","Training programs;Education and outreach;Governance and decision making","","Training programs;Education and outreach;Governance and decision making","Catch/production;Consumption","Consumption","Consumption;Other","","Training and knowledge sharing, identification of problems, quality control, best practices","Number of fishers who can fish, new fishers; Number of fishers involved in training, participating in training; number of sustainable practices in fishing",""
"2024/10/28 3:36:49 PM PDT","","SC 46","Female","Mestizo","35 - 44","Belioness","Vice Chair","Training programs;Education and outreach;Other","","Lincensing;Other","Consumption","Consumption","Consumption","","Educating the people about lion fish, maybe can help to have more fish","changes in lion fish abundance",""
"2024/11/14 12:05:36 PM PST","Placencia","PLA 67","Female","East Indian","35 - 44","WWF","Conservation Planner","Training programs;Education and outreach;Other","Finding","Training programs;Education and outreach;Other","Other","Other","Other","training in Sustainable practices","through training and capacity building programs, consultation as part of outreach","No",""
"2024/11/14 12:11:58 PM PST","Placencia","PLA 69","Male","Maya","25 - 34","Humana People to People","grant propossal writer","Training programs;Education and outreach;Governance and decision making","Litle interaction","Education and outreach;Other","","","","","seedxxx to interact capacitation into communities in Toledo and Stann Creek district. Sustainable development, com income livelihood sustainable activities","Based on their capacity initiatives to empower communities especially women, youth are vulnerable. Reducing poverty through community-led projects",""
"2024/11/14 12:13:25 PM PST","Placencia","PLA 13","Female","Mestizo","45 - 54","Southern Environmental Association","Executive director","Training programs;Education and outreach;Monitoring cath","","Education and outreach","Catch/production","Catch/production","Catch/production","Commercial and catch species survey","","",""
"2024/11/14 12:15:16 PM PST","Placencia","PLA 15","Female","Garifuna","45 - 54","Ecumenical Junior College","Educator","Other","Future training for fishers","","Consumption","Consumption","Consumption","","Promote the sale of local foods using catch species in nov and culture Day activities (promoting Garifuna cuisine)","",""
"2024/11/14 12:17:30 PM PST","Placencia","PLA 66","Male","Creole","35 - 44","Humana People to People","Project manager","Training programs;Education and outreach","","Training programs;Education and outreach","Other","Other","Other","training","provide funding for alternative livelihood. Training and businesses","Improvement in their ability to meet their basic needs after the alternative livelihood training and funding of new business",""
"2024/11/14 12:20:45 PM PST","Placencia","PLA 65","Male","Creole",">55","Toledo Institute for Development and Environment","protected area manager for terrestrial PAs","Lincensing;Training programs;Education and outreach;Governance and decision making;Monitoring cath;Other","alternative livelihoods","Education and outreach;Governance and decision making;Quota allocation;Monitoring cath","Catch/production","Catch/production","Catch/production","rules and regulations","through managed acces program where only traditional fishers can fish the protected/fishing zones in the area","the diversification into tourism-related activities is a more sustainable way of using the fishery",""
"2024/11/14 12:22:35 PM PST","Placencia","nadia","Female","Creole","45 - 54","WWF","Senior Program Manager","Training programs;Education and outreach;Other","reseach alternative livelihoods","Training programs;Education and outreach","Distribution;Consumption","Distribution;Consumption","Distribution;Consumption","Economic solutions","early stage of alternative livelihood exploration","early stage of analysis with plans to support in 2025",""
"2024/11/14 12:23:46 PM PST","Placencia","PLA 8","Female","Creole","45 - 54","Youth arm / oceana wavemakers","Coordinator","Education and outreach","","Education and outreach","","","","","","more sustainable fishing practices",""
"2024/11/14 12:25:39 PM PST","Placencia","PLA 18","Male","Garifuna",">55","Southern Environmental ASsociation (SEA)","Board Chairman","Lincensing;Training programs;Education and outreach;Governance and decision making;Monitoring cath;Other","compilance","Education and outreach;Governance and decision making;Other","Catch/production","Catch/production","Catch/production","","our capacity building have encouraged best practices in our fishers","",""