Timestamp,Site,ID_User,Gender,Ethnicity,Age_group,Fishing_gear_lobster,Own_vessel_gear_lobster,Fishing_zone_lobster,Fishing_trips_season_lobster,hours_of_fishing_trip_lobster,fishing_trip_cost_lobster,catch_per_trip_lobster,Selling_price_lobster,profit_from_trip_lobster,To_whom_sell_catch_lobster,Fishing_gear_conch,Own_vessel_gear_conch,Fishing_zone_conch,Fishing_trips_per_month_conch,hours_of_fishing_trip_conch,fishing_trip_cost_conch,catch_per_trip_conch,Selling_price_conch,profit_from_trip_conch,To_whom_sell_catch_conch,Fishing_gear_fish,Own_vessel_gear_fish,Fishing_zone_fish,Fishing_trips_per_month_fish,fishing_trip_cost_fish,hours_of_fishing_trip_fish,catch_avg_snook,catch_avg_barracuda,catch_avg_snapper,catch_avg_grouper,catch_avg_wrasses,catch_avg_jacks,selling_price_snook,selling_price_barracuda,selling_price_snapper,selling_price_grouper,selling_price_wrasses,selling_price_jacks,bait,profit_from_trip_fish,To_whom_sell_catch_fish,differetn_livelihood,Member_coop
2024/10/28 9:53:17 AM PDT,,SC 41,Male,Creole,>55,Hook stick,Yes,,5,,,,10 bz,,"sharing with tourists for tips, mostly subsistence",Free diving,,Out of the reserve,,,,,8 bz,,personel tourist for tips,Hand line,Yes,Same as conch (outside reserve),every day in high tourist season,,,,,,,,,,,,,,,,,"sharing with tourist for tips, restaurants",Fishing;Sea food processing;Tourism,"No, has a fishing license for commercial and tourist though. This fisher acts more as a marine tour guide, some small fishing/selling to restaurants. Mostly subsistence and share with tourist"
2024/10/28 10:03:01 AM PDT,,SC 22,Female,Garifuna,>55,,,,,,,,,,,Free diving,Yes,doesn exist,20,up to ing,2 tava - 5 bz/galleno,31,4 bz,,Cooperative Belize city and restaurants,,,,,,,,,,,,,,,,,,,,,,Fishing,"Belize City (national), used two back"
2024/10/28 10:10:23 AM PDT,,,Male,Mestizo,>55,Shade;Hook stick,Yes,1,4,8,100,25-30,25-30,25%,Restaurants,Free diving,Yes,1,4,8,50,25,10,50%,Restaurants,Hand line,Yes,1,2,50,8-Jun,,15,40-50,,,,,8,12,,,,No,10%,Restaurants,Fishing,"Yes, Northern"
2024/10/28 10:24:51 AM PDT,,5,Female,Mestizo,25 - 34,Shade;Lobster trap,Yes,1,14,8,300,70,15,,Cooperative Northern,Free diving,Yes,1,1 for blenger,48,600,100,8,0,Cooperative Northern,Spearfishing;Other,Yes,1;6;9,3,200,10,,50,50,,,,,12,15,,,,No,400,Restaurants,Fishing;Sea food processing;Tourism;Other work,Northern
2024/10/28 10:30:29 AM PDT,,SC16,Male,Creole,45 - 54,Shade;Lobster trap,Yes,,100,6;8,200,30,25-30,400,Restaurants,Free diving,Yes,3;4,,6,200,60,15,400,Restaurant,Hand line,Yes,3;4;9,10,200,8,,,,,,,,10,20,20,,10,"yes, minig roves",600,Restaurants,Fishing;Tourism,No
2024/10/28 10:38:24 AM PDT,,,,,,Shade;Lobster trap,Yes,1;6,20,6,400 - 600,20 - 60,Tails 25,200 - 400,"Cooperative, restaurants",Other,,1;6,10,4 - 6 h,200 - 400,15 - 20,12,200 - 300,"Cooperative, restaurants",Hand line;Other,Yes,1;6,12,300 - 700,6-Apr,,20,25,10,,5,,12,15,15,,10,yes,300 - 500,Restaurants,,
2024/10/28 10:42:32 AM PDT,,SC 50,Male,Maya,>55,Snare,Yes,,1,2;3,150,5#,,,,Free diving,Yes,,1,2 - 3 h,150,5#,,,,Hand line;Other,Yes,,2-Jan,150,5 h ,,,,,,,,,,,,,,,,Tourism,
2024/10/28 10:54:42 AM PDT,,SC 43,Female,Mestizo;Creole,25 - 34,,,,,,,,,,,,,,,,,,,,,Hand line,Yes,,house use,350 - 650,6-Apr,,x,x,x,,x,,5,7,,,,"Yes, around the island",,,Fishing;Tourism,No
2024/10/28 11:05:33 AM PDT,,SC 45,Male,Mestizo,35 - 44,,Yes,1,,4,,,dont sell,,dont sell,Free diving,Yes,1,,,,,,,,Hand line;Other,Yes,,,,4,x,x,x,,,,,,,,,,"yes, catch with net",,dont sell,Tourism,No
2024/10/28 11:08:03 AM PDT,,,Female,Mestizo;Creole,25 - 34,Shade,Yes,,5,2,350,5-Apr,,200,,Free diving,Yes,,2,4-Feb,350,5-Apr,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/10/28 11:10:30 AM PDT,,,,,35 - 44,,,,,,,,,,,,,,,,,,,,,Hand line,Yes,,20,150,6,,10,30,,,5,,10,12,,,,"yes, catch my own",depends,Restaurants,,
2024/10/28 11:14:38 AM PDT,,,Female,Mestizo;Creole,35 - 44,,,,,,,,,,,,,,,,,,,,,Spin Rode,Yes,1,,300,7-Apr,,,,,,,,,,,,,Yes. North of Caye Caulker and Caye Chapel,,Dont sell,,
2024/10/28 11:19:25 AM PDT,,,Male,Creole,45 - 54,Jamo,Yes,3;4,10,24,300,50,30,1200,Restaurants,Free diving,Yes,3,4,48,400,200,10,1600,Restaurants,Hand line;Spearfishing,Yes,3;4,1,400,12,,60,20,,,,,,,,,,,,,,
2024/10/28 11:26:08 AM PDT,,,,,,Shade,Yes,,25,5,100,30,26,,Cooperative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fishing;Tourism,No
2024/10/28 11:33:04 AM PDT,,,Male,Mestizo;Maya,25 - 34,Shade,No,1;6,10,6,500,400 - 200 (2 first months) 100 - 50 (other months),25,500 - 2000,Cooperative and restaurants,Free diving,No,1;6,24,10,200,20,8,150,Cooperative (30%) restaurant (70%),Hand line;Spearfishing;Other,No,1;6,25 - 30 (jan to may touristic season),200,8,,,,,,,8,8,10-Aug,10,,8-Jun,"Yes, flies",300,Restaurants,Tourism,No
2024/11/14 9:48:57 AM PST,Placencia,PLA 24,,,,Other,Yes,3;4,10,24;36,800,100 - 150,30,2000 - 2500,Restaurants,Free diving,Yes,3;4,2,24 - 36,600 - 800,75 - 100,10,1000 - 1500,Restaurants,Hand line;Spearfishing,Yes,3;4,1,580,,,50,50,20,,50,,,6 BZ,12,,,"yes, Cayes and Reefs",1550 - 2000,Restaurants,Fishing;Tourism,No
2024/11/14 10:04:15 AM PST,Placencia,PLA 1,Male,Creole,45 - 54,Shade,Yes,3;4,8,8,250,90 - 100 (beginnin of season),26 - 30,700 - 800,Restaurant,Free diving,Yes,3;4,64,7,120,15 - 20,"9 coop, 10 restaurants",160,National Cooperative and restaurants,Hand line;Spearfishing,Yes,3;4,9,120,7,,,150,,,,,,7,,,,"no, dead sardine",900 - 1000,Restaurants,Fishing;Tourism,Placencia Cooperative and National Cooperative
2024/11/14 10:12:47 AM PST,Placencia,PLA 19,Male,Creole,35 - 44,Shade;Lobster trap,Yes,3;4;5,32,4;5,250,150 - 200,8-10 to 50,200 - 300 week,Placencia Cooperative and Green Forest Seafood,Free diving,Yes,3;4;5,3-Feb,4-Mar,400 - 500,800 - 1000 ,9,1500 - 2000 (divided by 3),Placencia Cooperative and Green Forest Seafood,Hand line;Trap,Yes,3;4;5,"20 (trap 4/week, handline 16/month)",75 - 100,4-Mar,,,100 - 200,,,,,5,5,,,3,yes,200 a day,Local venders,Fishing;Tourism,Placencia Cooperative
2024/11/14 10:43:27 AM PST,Placencia,PLA 4,Male,Garifuna,45 - 54,Hook stick,Yes,3;8;9,12,6,300,10 bad day - 50 good day,28 (tails),400,Rainforest and foreigners,Free diving,Yes,3;8,3,5,300,200,8,350,"Cooperatives, locals and retailers",Hand line,Yes,3;8;9,3,680,9,,50,150 200,,,25 - 30,,,,,,,"yes, small yellow tail or silk snapper",300 (person),"Locals, resorts, retailers",,
2024/11/14 10:46:38 AM PST,Placencia,PLA 31,Female,Creole,25 - 34,,,,,,,,,,,,,,,,,,,,,Other,No,Unkwon (pompios area),,,5,,,,,,,,,,,,,,dont sell the catch,dont sell the catch,Tourism,No
